Newick Tree:
((((1:0.041386,((7:0.024920,5:0.024920)internal_48:0.013092,2:0.038012)internal_47:0.003373)internal_45:0.050559,((14:0.006180,12:0.006180)internal_38:0.053450,(24:0.039780,23:0.039780)internal_46:0.019850)internal_37:0.032315)internal_44:0.081517,((28:0.040535,26:0.040535)internal_50:0.025064,(6:0.045030,9:0.045030)internal_51:0.020568)internal_49:0.107864)internal_43:0.081107,(((16:0.048371,((15:0.027174,11:0.027174)internal_31:0.017824,18:0.044998)internal_33:0.003373)internal_32:0.045616,((8:0.025910,3:0.025910)internal_36:0.007108,(4:0.007856,10:0.007856)internal_34:0.025162)internal_30:0.060970)internal_35:0.094420,(((20:0.052822,(25:0.024332,27:0.024332)internal_42:0.028490)internal_52:0.006833,17:0.059655)internal_28:0.043447,((22:0.027935,21:0.027935)internal_40:0.019801,13:0.047735)internal_39:0.055367)internal_29:0.085305)internal_41:0.066163)internal_27:0.082739;;
node,character_0,character_1,character_2,character_3,character_4,character_5,character_6,character_7,character_8,character_9,character_10,character_11,character_12,character_13,character_14,character_15,character_16,character_17,character_18,character_19,character_20,character_21,character_22,character_23,character_24,character_25,character_26,character_27,character_28,character_29,character_30,character_31,character_32,character_33,character_34,character_35,character_36,character_37,character_38,character_39,character_40,character_41,character_42,character_43,character_44,character_45,character_46,character_47,character_48,character_49,character_50,character_51,character_52,character_53,character_54,character_55,character_56,character_57,character_58,character_59,character_60,character_61,character_62,character_63,character_64,character_65,character_66,character_67,character_68,character_69,character_70,character_71,character_72,character_73,character_74,character_75,character_76,character_77,character_78,character_79,character_80,character_81,character_82,character_83,character_84,character_85,character_86,character_87,character_88,character_89,character_90,character_91,character_92,character_93,character_94,character_95,character_96,character_97,character_98,character_99,character_100,character_101,character_102,character_103,character_104,character_105,character_106,character_107,character_108,character_109,character_110,character_111,character_112,character_113,character_114,character_115,character_116,character_117,character_118,character_119,character_120,character_121,character_122,character_123,character_124,character_125,character_126,character_127,character_128,character_129,character_130,character_131,character_132,character_133,character_134,character_135,character_136,character_137,character_138,character_139,character_140,character_141,character_142,character_143,character_144,character_145,character_146,character_147,character_148,character_149,character_150,character_151,character_152,character_153,character_154,character_155,character_156,character_157,character_158,character_159,character_160,character_161,character_162,character_163,character_164,character_165,character_166,character_167,character_168,character_169,character_170,character_171,character_172,character_173,character_174,character_175,character_176,character_177,character_178,character_179,character_180,character_181,character_182,character_183,character_184,character_185,character_186,character_187,character_188,character_189,character_190,character_191,character_192,character_193,character_194,character_195,character_196,character_197,character_198,character_199,character_200,character_201,character_202,character_203,character_204,character_205,character_206,character_207,character_208,character_209,character_210,character_211,character_212,character_213,character_214,character_215,character_216,character_217,character_218,character_219,character_220,character_221,character_222,character_223,character_224,character_225,character_226,character_227,character_228,character_229,character_230,character_231,character_232,character_233,character_234,character_235,character_236,character_237,character_238,character_239,character_240,character_241,character_242,character_243,character_244,character_245,character_246,character_247,character_248,character_249,character_250,character_251,character_252,character_253,character_254,character_255,character_256,character_257,character_258,character_259,character_260,character_261,character_262,character_263,character_264,character_265,character_266,character_267,character_268,character_269,character_270,character_271,character_272,character_273,character_274,character_275,character_276,character_277,character_278,character_279,character_280,character_281,character_282,character_283,character_284,character_285,character_286,character_287,character_288,character_289,character_290,character_291,character_292,character_293,character_294,character_295,character_296,character_297,character_298,character_299,character_300,character_301,character_302,character_303,character_304,character_305,character_306,character_307,character_308,character_309,character_310,character_311,character_312,character_313,character_314,character_315,character_316,character_317,character_318,character_319,character_320,character_321,character_322,character_323,character_324,character_325,character_326,character_327,character_328,character_329,character_330,character_331,character_332,character_333,character_334,character_335,character_336,character_337,character_338,character_339,character_340,character_341,character_342,character_343,character_344,character_345,character_346,character_347,character_348,character_349,character_350,character_351,character_352,character_353,character_354,character_355,character_356,character_357,character_358,character_359,character_360,character_361,character_362,character_363,character_364,character_365,character_366,character_367,character_368,character_369,character_370,character_371,character_372,character_373,character_374,character_375,character_376,character_377,character_378,character_379,character_380,character_381,character_382,character_383,character_384,character_385,character_386,character_387,character_388,character_389,character_390,character_391,character_392,character_393,character_394,character_395
8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,3,1,0,0,2,1,1,1,0,0,0,3,0,1,0,3,0,1,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1,2,3,0,0,0,0,2,3,0,1,0,0,0,0,0,1,0,0,2,3,2,0,0,0,0,3,0,0,3,0,0,0,3,1,0,0,2,3,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,2,3,0,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,3,1,0,0,0,1,2,1,0,1,2,3,1,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,2,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,2,2,0,2,0,0,1,2,3,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,2,3,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,3,0,2,1,0,1,2,3,0,1,0,1,2,3,0,1,0,0,0,3,0,1,0,0,0,3,0,1,0,0,0,0,2,0,3,0,0,0,3,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,2,0,0,1,0,0,0,0,2,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,1,0,1,0,1,2,3,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,2,0,1,0,1,0,0,2,3,2,0,0,0,1,1,1,0,0,2,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,2,2,3,2,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,2,3,0,0,0,0,0,0,0,1,0,3,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,1,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,3,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,3,0,2,1,0,1,2,3,0,1,0,0,2,3,0,1,0,0,0,3,0,1,0,0,0,3,0,1,0,0,0,0,2,0,3,0,0,0,3,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,2,0,0,1,0,0,0,0,2,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,1,0,1,0,1,2,3,3,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,3,1,0,2,0,1,0,1,0,3,2,3,0,0,0,0,1,1,1,0,0,2,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,2,2,3,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,3,0,0,0,0,0,0,0,1,0,3,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,3,0,2,1,0,1,2,3,0,1,0,0,2,3,0,1,0,0,0,3,0,1,0,0,0,3,0,1,0,0,0,0,2,0,3,0,0,0,3,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,2,0,0,1,0,0,0,0,2,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,1,0,1,0,1,2,3,3,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,3,1,0,1,0,0,1,0,3,1,0,2,0,1,0,1,0,0,2,3,2,0,0,0,1,1,1,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,2,2,3,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,2,3,0,0,0,0,0,0,0,1,0,3,2,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,1,0
27,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,3,0,1,0,0,2,3,0,1,0,0,0,3,0,1,0,0,2,3,0,1,0,0,0,0,0,1,3,0,2,3,3,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,2,3,3,0,0,0,0,2,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,1,0,0,0,1,0,1,0,1,2,3,3,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,2,0,1,0,1,0,0,2,3,0,0,0,0,1,1,0,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,3,1,1,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,3,0,1,3,0,1,0,2,2,3,2,0,0,0,2,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,3,0,0,0,0,0,0,0,1,0,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,2,3,0,1,0,0,2,3,0,1,0,0,0,3,0,1,0,0,0,3,0,1,1,0,0,0,0,1,3,0,0,3,3,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,3,2,3,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,1,0,0,0,1,0,1,0,1,2,3,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,1,0,2,0,1,0,1,0,0,2,3,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,3,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,2,2,3,2,0,0,0,2,3,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,3,0,0,0,0,0,0,0,1,0,3,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,3,3,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,2,3,2,1,0,0,2,2,3,1,0,0,0,3,0,0,0,2,1,3,0,1,0,0,2,0,3,1,0,0,2,3,0,3,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,3,0,2,0,1,0,1,1,0,2,0,0,0,2,2,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,3,0,0,0,0,0,1,0,0,0,2,0,3,2,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,2,3,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
23,0,0,2,2,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,3,3,0,0,0,2,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,2,1,1,1,0,0,0,0,2,1,0,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,2,3,2,1,0,0,2,2,3,1,0,0,0,3,0,0,0,2,1,3,0,1,0,0,2,0,3,1,0,0,2,3,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,2,2,2,0,2,0,3,0,2,0,1,0,0,1,0,0,0,0,0,2,2,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,3,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,2,2,0,2,2,3,0,0,0,0,0,1,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,2,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0
7,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,3,3,0,0,0,2,0,3,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,2,3,2,1,0,0,2,2,3,1,0,0,0,3,0,0,0,2,1,3,0,1,0,0,2,0,3,1,0,0,2,3,0,3,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,2,0,2,0,3,0,2,0,1,0,0,1,0,0,0,0,0,2,2,0,1,0,2,0,1,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,2,0,0,2,3,0,0,0,0,0,1,0,0,0,2,0,3,2,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,3,3,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,2,3,2,1,0,0,2,2,3,1,0,0,0,3,0,0,0,2,1,3,0,1,1,0,2,0,3,1,0,0,2,3,0,3,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,2,0,3,0,2,0,1,0,0,1,0,0,0,0,0,2,2,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,2,0,0,2,3,0,0,0,0,1,1,0,0,0,2,0,3,2,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
24,0,0,2,2,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,3,0,2,3,3,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,2,1,1,1,0,0,3,0,2,1,0,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,2,3,2,1,0,0,2,2,3,1,0,0,0,3,0,0,0,2,1,3,0,1,0,0,2,0,3,1,0,0,2,3,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,3,0,1,0,0,0,2,0,2,0,3,0,2,0,1,0,0,1,0,0,0,0,0,2,2,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,3,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,2,0,2,2,3,0,0,0,0,0,1,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0
28,3,0,2,0,1,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,3,1,0,2,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,3,2,1,0,0,2,3,2,1,0,0,2,2,0,0,0,0,0,3,0,0,0,2,0,3,0,1,0,0,0,0,3,1,0,0,2,3,0,1,0,2,0,0,0,0,0,0,0,3,0,1,0,2,3,3,0,0,0,0,2,0,0,0,1,0,2,2,0,1,0,3,0,2,0,1,0,0,1,1,3,0,0,0,0,2,0,1,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,2,3,0,3,0,0,1,1,1,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0
26,3,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,3,1,0,2,0,0,3,1,0,2,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,1,0,0,2,3,2,1,0,0,2,2,0,0,0,0,0,3,2,0,0,2,0,3,0,1,0,0,0,0,3,1,0,0,2,3,0,1,0,2,2,0,0,0,0,0,0,3,0,1,0,2,3,3,0,0,0,0,2,3,0,0,1,0,2,2,0,1,0,3,0,2,0,1,0,0,1,1,3,0,0,0,0,2,0,1,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,3,0,3,0,0,1,1,1,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0
6,3,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,1,0,0,2,3,2,1,0,0,2,2,0,0,0,0,0,3,0,0,0,2,0,3,0,1,0,0,0,0,3,1,0,0,2,3,0,1,0,2,0,0,0,3,0,0,0,3,0,1,0,2,3,3,0,0,0,0,2,0,0,0,0,0,2,2,0,1,0,3,0,2,0,1,0,0,1,1,3,0,0,0,0,2,0,1,0,3,2,0,1,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,1,1,1,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,3,0,3,0,0,1,1,1,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0
